propertyCode;thumbnail;externalReference;numPhotos;floor;price;propertyType;operation;size;exterior;rooms;bathrooms;address;province;municipality;district;country;latitude;longitude;showAddress;url;hasVideo;status;newDevelopment;hasLift
32487683;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6e/7f/86/708043184.jpg;PSS6SP07180;15;NA;3500.0;chalet;rent;288.0;False;6;4;Calle gran vía puig san salvador;Balears (Illes);Calvià;Santa Ponça;es;39.5075628;2.476055;False;https://www.idealista.com/inmueble/32487683/;False;good;False;NA
39618346;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c3/24/6c/263273086.jpg;NA;32;bj;8000.0;flat;rent;350.0;True;4;4;Talamanca;Balears (Illes);Santa Eulalia del Río;Jesús/Nuestra Señora de Jesús;es;38.9180605;1.4606553;False;https://www.idealista.com/inmueble/39618346/;False;good;False;True
39653716;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b7/1e/c1/272780806.jpg;P-145;24;4;1800.0;flat;rent;160.0;True;3;3;barrio La Seu - Cort - Monti-Sion;Balears (Illes);Palma de Mallorca;Ciutat Antigua;es;39.5657168;2.6516663;False;https://www.idealista.com/inmueble/39653716/;False;NA;False;True
39672713;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1e/93/cd/264314840.jpg;Loftroom_PaseoMiguelCervantes;15;bj;750.0;studio;rent;45.0;False;0;1;Paseo Miguel de Cervantes, 22;Balears (Illes);Manacor;Cala Magrana-Cala Anguila-Cala Mendia;es;39.5292133;3.3180328;True;https://www.idealista.com/inmueble/39672713/;False;good;False;False
39700520;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/01/54/ac/272783766.jpg;P-885;15;2;2000.0;flat;rent;215.0;True;3;2;barrio La Seu - Cort - Monti-Sion;Balears (Illes);Palma de Mallorca;Ciutat Antigua;es;39.57239;2.6520405;False;https://www.idealista.com/inmueble/39700520/;False;good;False;True
39700440;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/03/22/9b/264851300.jpg;NA;22;NA;1500.0;chalet;rent;240.0;False;3;2;Diseminado Poligon 09, 17;Balears (Illes);Manacor;Manacor Centro;es;39.5627494;3.3007567;True;https://www.idealista.com/inmueble/39700440/;False;good;False;NA
39860039;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/de/03/05/268071506.jpg;042.03522;23;NA;2500.0;chalet;rent;233.0;False;4;4;puig de san salvador;Balears (Illes);Palma de Mallorca;Genova - Bonanova - Sant Agustí;es;39.5588655;2.6082342;False;https://www.idealista.com/inmueble/39860039/;False;good;False;NA
39948355;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/94/75/b1/270179774.jpg;C-173;34;NA;2500.0;chalet;rent;300.0;False;4;4;barrio Cala Major;Balears (Illes);Palma de Mallorca;Genova - Bonanova - Sant Agustí;es;39.5550161;2.6089068;False;https://www.idealista.com/inmueble/39948355/;False;good;False;NA
40002429;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/67/8c/7a/670616689.jpg;000981;13;8;1750.0;flat;rent;162.0;False;5;3;barrio Son Dameto;Balears (Illes);Palma de Mallorca;Es Forti - Son Cotoner - Son Dameto;es;39.5798014;2.6294359;False;https://www.idealista.com/inmueble/40002429/;False;good;False;True
40007432;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/36/6d/89/588041695.jpg;NA;20;2;1800.0;flat;rent;140.0;True;3;2;Cala Vinyes;Balears (Illes);Calvià;Cala Vinyes;es;39.5009384;2.5335179;False;https://www.idealista.com/inmueble/40007432/;True;good;False;True
40110307;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/20/3c/5f/274079640.jpg;27240;8;4;1800.0;flat;rent;163.0;True;3;2;barrio La Seu - Cort - Monti-Sion;Balears (Illes);Palma de Mallorca;Ciutat Antigua;es;39.5684611;2.6461691;False;https://www.idealista.com/inmueble/40110307/;False;good;False;True
40190668;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3d/c6/8e/275618226.jpg;R1260;42;NA;5000.0;chalet;rent;275.0;False;5;3;Poligono 12;Balears (Illes);Llucmajor;Llucmajor Interior;es;39.50582;2.86222;False;https://www.idealista.com/inmueble/40190668/;False;good;False;NA
40259983;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e5/8e/70/276908354.jpg;E190;21;NA;3500.0;chalet;rent;196.0;False;4;4;Jesús/Nuestra Señora de Jesús;Balears (Illes);Santa Eulalia del Río;Jesús/Nuestra Señora de Jesús;es;38.9332242;1.4962648;False;https://www.idealista.com/inmueble/40259983/;False;NA;False;NA
40278015;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/32/c5/4b/277160091.jpg;R1263;16;NA;1700.0;chalet;rent;250.0;False;5;4;Vial IX Bis;Balears (Illes);Esporles;NA;es;39.6501049;2.6224273;False;https://www.idealista.com/inmueble/40278015/;False;good;False;NA
40307583;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/af/f4/a6/277716682.jpg;PM2RA07629;37;NA;4000.0;countryHouse;rent;327.0;False;5;4;Algaida;Balears (Illes);Algaida;NA;es;39.5260503;2.9175536;False;https://www.idealista.com/inmueble/40307583/;False;good;False;NA
39570918;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d7/ac/df/658707379.jpg;ADO0218;13;NA;3600.0;chalet;rent;130.0;False;4;3;Jesús/Nuestra Señora de Jesús;Balears (Illes);Santa Eulalia del Río;Jesús/Nuestra Señora de Jesús;es;38.9475897;1.4908997;False;https://www.idealista.com/inmueble/39570918/;False;NA;False;NA
40406132;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/29/63/7f/279707467.jpg;A-86;30;1;1200.0;flat;rent;90.0;True;3;1;barrio La Missio - Mercat;Balears (Illes);Palma de Mallorca;Ciutat Antigua;es;39.5753403;2.6506704;False;https://www.idealista.com/inmueble/40406132/;False;NA;False;NA
40461130;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c8/25/73/280850035.jpg;P-1238;15;bj;1000.0;flat;rent;105.0;True;3;1;Portixol-Molinar;Balears (Illes);Palma de Mallorca;Portixol-Molinar;es;39.5544775;2.6849243;False;https://www.idealista.com/inmueble/40461130/;False;NA;False;NA
40486050;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d7/65/7b/281620849.jpg;41570063;12;NA;8500.0;chalet;rent;700.0;False;4;4;Calle cala llamp s/n;Balears (Illes);Andratx;Port d'Andratx;es;39.5417655;2.3920575;True;https://www.idealista.com/inmueble/40486050/;False;good;False;NA
40508844;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fb/1d/27/282551619.jpg;124028;23;6;3500.0;penthouse;rent;150.0;True;4;2;Calle de s'Hort de sa Fruita;Balears (Illes);Eivissa;Marina Botafoc - Talamanca;es;38.9188923;1.4423353;False;https://www.idealista.com/inmueble/40508844/;False;good;False;True
40533732;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b8/29/11/585797887.jpg;AM-V1807120093;39;NA;1600.0;chalet;rent;160.0;False;3;2;Badia Blava-Badia Gran-Tolleric;Balears (Illes);Llucmajor;Badia Blava-Badia Gran-Tolleric;es;39.4249184;2.751768;False;https://www.idealista.com/inmueble/40533732/;False;good;False;NA
40554218;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e3/49/7b/285013394.jpg;41817;12;1;3300.0;flat;rent;110.0;True;2;2;Illetes;Balears (Illes);Calvià;Illetes;es;39.5365846;2.5901346;False;https://www.idealista.com/inmueble/40554218/;False;good;False;True
40552789;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/43/d0/e6/669094757.jpg;SP162;84;NA;6500.0;chalet;rent;500.0;False;4;4;barrio Son Vida;Balears (Illes);Palma de Mallorca;Son Vida;es;39.5794396;2.5917397;False;https://www.idealista.com/inmueble/40552789/;False;good;False;NA
40556641;https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b6/00/93/285059633.jpg;4402;38;NA;6250.0;chalet;rent;450.0;False;5;6;Santa Ponça;Balears (Illes);Calvià;Santa Ponça;es;39.5068653;2.4753925;False;https://www.idealista.com/inmueble/40556641/;False;good;False;NA
